Letterboxd URI,Title,Year,imdb,tmdb
/film/13-going-on-30/,13 Going on 30,2004,tt0337563,10096
/film/army-of-the-dead-2021/,Army of the Dead,2021,tt0993840,503736
/film/space-jam/,Space Jam,1996,tt0117705,2300
/film/da-5-bloods/,Da 5 Bloods,2020,tt9777644,581859
/film/dirty-dancing/,Dirty Dancing,1987,tt0092890,88
/film/batman-returns/,Batman Returns,1992,tt0103776,364
/film/sweeney-todd-the-demon-barber-of-fleet-street-2007/,Sweeney Todd: The Demon Barber of Fleet Street,2007,tt0408236,13885
/film/the-host/,The Host,2006,tt0468492,1255
/film/notting-hill/,Notting Hill,1999,tt0125439,509
/film/happy-death-day/,Happy Death Day,2017,tt5308322,440021
/film/mission-impossible-rogue-nation/,Mission: Impossible - Rogue Nation,2015,tt2381249,177677
/film/north-by-northwest/,North by Northwest,1959,tt0053125,213
/film/kubo-and-the-two-strings/,Kubo and the Two Strings,2016,tt4302938,313297
/film/brooklyn/,Brooklyn,2015,tt2381111,167073
/film/x2/,X2,2003,tt0290334,36658
/film/megamind/,Megamind,2010,tt1001526,38055
/film/castle-in-the-sky/,Castle in the Sky,1986,tt0092067,10515
/film/life-of-brian/,Life of Brian,1979,tt0079470,583
/film/misery/,Misery,1990,tt0100157,1700
/film/alien-covenant/,Alien: Covenant,2017,tt2316204,126889
/film/fury-2014/,Fury,2014,tt2713180,228150
/film/braveheart/,Braveheart,1995,tt0112573,197
/film/the-sound-of-music/,The Sound of Music,1965,tt0059742,15121
/film/to-all-the-boys-ps-i-still-love-you/,To All the Boys: P.S. I Still Love You,2020,tt9354842,565426
/film/wildlife-2018/,Wildlife,2018,tt5929754,417812
/film/ed-wood/,Ed Wood,1994,tt0109707,522
/film/cinderella/,Cinderella,1950,tt0042332,11224
/film/harold-and-maude/,Harold and Maude,1971,tt0067185,343
/film/mad-max-2/,Mad Max 2,1981,tt0082694,8810
/film/happy-feet/,Happy Feet,2006,tt0366548,9836
/film/mysterious-skin/,Mysterious Skin,2004,tt0370986,11171
/film/its-such-a-beautiful-day/,It's Such a Beautiful Day,2012,tt2396224,489412
/film/blow-out/,Blow Out,1981,tt0082085,11644
/film/election/,Election,1999,tt0126886,9451
/film/the-intern-2015/,The Intern,2015,tt2361509,257211
/film/the-ritual-2017/,The Ritual,2017,tt5638642,433808
/film/batman-forever/,Batman Forever,1995,tt0112462,414
/film/zola/,Zola,2020,tt5439812,539565
/film/troy/,Troy,2004,tt0332452,652
/film/mr-nobody/,Mr. Nobody,2009,tt0485947,31011
/film/persepolis/,Persepolis,2007,tt0808417,2011
/film/war-dogs-2016/,War Dogs,2016,tt2005151,308266
/film/brick/,Brick,2005,tt0393109,9270
/film/the-great-dictator/,The Great Dictator,1940,tt0032553,914
/film/lemony-snickets-a-series-of-unfortunate-events/,Lemony Snicket's A Series of Unfortunate Events,2004,tt0339291,11774
/film/miss-peregrines-home-for-peculiar-children/,Miss Peregrine's Home for Peculiar Children,2016,tt1935859,283366
/film/eyes-without-a-face/,Eyes Without a Face,1960,tt0053459,31417
/film/swallow-2019/,Swallow,2019,tt8372298,586461
/film/high-fidelity/,High Fidelity,2000,tt0146882,243
/film/evil-dead/,Evil Dead,2013,tt1288558,109428
/film/le-samourai/,Le Samouraï,1967,tt0062229,5511
/film/spy/,Spy,2015,tt3079380,238713
/film/twin-peaks/,Twin Peaks,1989,tt0278784,452522
/film/wont-you-be-my-neighbor/,Won't You Be My Neighbor?,2018,tt7681902,490003
/film/nymphomaniac-volume-i/,Nymphomaniac: Vol. I,2013,tt1937390,258216
/film/where-the-wild-things-are/,Where the Wild Things Are,2009,tt0386117,16523
/film/personal-shopper/,Personal Shopper,2016,tt4714782,340676
/film/hairspray-2007/,Hairspray,2007,tt0427327,2976
/film/charlies-angels/,Charlie's Angels,2000,tt0160127,4327
/film/red-sparrow/,Red Sparrow,2018,tt2873282,401981
/film/hot-rod/,Hot Rod,2007,tt0787475,10074
/film/the-secret-world-of-arrietty/,The Secret World of Arrietty,2010,tt1568921,51739
/film/malcolm-x-1992/,Malcolm X,1992,tt0104797,1883
